Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Jinqi Zhu|None!!!Understanding Multiple Features with Hypercube for Distinguishing Uncertain Objects in Mobile Crowdsensing
Francis C.M. Lau|None!!!CloudMedia: When Cloud on Demand Meets Video on Demand
Yan'an Jin|Huazhong University of Science and Technology!!!Preserving privacy and frequent sharing patterns for social network data publishing
Wei Wang|Huazhong University of Science and Technology!!!Cloud-Assisted Key Distribution in Batch for Secure Real-time Mobile Services*@*Real-Time Human Behavior Investigation and Monitoring System*@*Application of a robotic system with mobile manipulator and vision positioning*@*Microservices Architecture Based Cloudware Deployment Platform for Service Computing*@*Engineering Computational Service Grid: A Flexible Engineering Computational Environment Based on Grid Computing*@*Heterogeneous Sparse Relational Data Co-clustering in Social Network*@*Towards Cloudware Paradigm for Cloud Computing
Bing Wang|None!!!Crowd Psychology Simulation Incorporating Psychometrics and Intervention of Relationship Spaces*@*Knowledge Aggregation in Human Flesh Search
Laurence T. Yang|Huazhong University of Science and Technology!!!Safety Challenges and Solutions in Mobile Social Networks*@*SIM: A Search Engine by Correlating Scattered Data Sets for Cyber, Physical, and Social Systems*@*Top Challenges for Smart Worlds: A Report on the Top10Cs Forum*@*MobiFuzzyTrust: An Efficient Fuzzy Trust Inference Mechanism in Mobile Social Networks*@*KK-Clique Community Detection in Social Networks Based on Formal Concept Analysis*@*Top Challenges for Smart Worlds: A Report on the Top10Cs Forum*@*A Hybrid eBusiness Software Metrics Framework for Decision Making in Cloud Computing Environment*@*From Internet to Smart World
Baihua Wang|None!!!Notice of Violation of IEEE Publication PrinciplesEnergy Efficient Mobile Cloud Computing and Its Applications*@*Energy Efficient Mobile Cloud Computing and its Applications
Yongming Wang|None!!!Exploiting social relationship for secure routing in mobile social networks
Chao Wang|University of Science and Technology of China!!!Cost-effective scheduling precedence constrained tasks in cloud computing*@*A Classroom Scheduling Service for Smart Classes
Guolu Zhang|None!!!Real Time Cache Performance Analyzing for Multi-core Parallel Programs
Chao Yang|Hubei University!!!An approach for setting access control rule based on multi-party collaborative in Online Social Networks*@*Cloud Computing Enabled Web Processing Service for Earth Observation Data Processing*@*Jamming attack in centralized state estimation
Bojun Gou|None!!!RESen: Sensing and Evaluating the Riding Experience Based on Crowdsourcing by Smart Phones*@*RESen: Sensing and Evaluating the Riding Experience Based on Crowdsourcing by Smart Phones
Junru Lin|None!!!A priority-aware frequency domain polling MAC protocol for OFDMA-based networks in cyber-physical systems
Helen Meng|The Chinese University of Hong Kong!!!mENUNCIATE: Development of a computer-aided pronunciation training system on a cross-platform framework for mobile, speech-enabled application development
Xiaofei Wu|None!!!Self-Similarity Analysis of Mobile Instant Messaging Applications' Traffic and Server
Weina He|Pingdingshan University!!!The application of mobile agent in e-commerce
Leyi Shi|China University of Petroleum!!!A decentralized and personalized spam filter based on social computing
Xinxin Zhao|None!!!Comparision of Real-Time Crowd Simulation Methods Based on Parallel Architecture
Danning Wang|Beihang University!!!Inferring Information Propagation over Online Social Networks: Edge Asymmetry and Flow Tendency*@*Mining friendships through spatial-temporal features in mobile social networks
Wenbo Wang|Beijing University of Posts and Telecommunications!!!Spatial traffic prediction for wireless cellular system based on base stations social network*@*Open access strategy in cloud computing-based heterogenous networks constrained by wireless fronthaul*@*Traffic scenario recognition and analysis for wireless cellular system: From social network perspective
Jie Wu|Fudan University!!!Minimizing Content Reorganization and Tolerating Imperfect Workload Prediction for Cloud-Based Video-on-Demand Services*@*In STechAH: An Autoscaling Scheme for Hadoop in the Private Cloud*@*PDSDN: A Policy-Driven SDN Controller Improving Scheme for Multi-tenant Cloud Datacenter Environments
Hailei Sun|Beihang University!!!An optimized approach to virtualize an execution environment for windows applications
Xueying Guo|Tsinghua University!!!Optimal energy-efficient regular delivery of packets in cyber-physical systems
Yu-long Xu|Henan University of Traditional Chinese Medicine!!!A fast multi-objective differential evolutionary algorithm based on sorting of non-dominated solutions
RunSheng Li|Beihang University!!!Modeling user's preference in folksonomy for personalized search
Zongwei Ren|Harbin University of Commerce!!!An improved algorithm for community discovery in social networks based on label propagation
Victor O. K. Li|The University of Hong Kong!!!Cascade with varying activation probability model for influence maximization in social networks*@*The Impacts of Network Structure on User Activity Level in Online Social Networks*@*An Incentive Scheme for Non-cooperative Social Networks under the Independent Cascade Model*@*Sequential pricing for social networks with multi-state diffusion
Yong Zhang|China University of Mining and Technology!!!Multi-Objective Particle Swarm Optimization Approach for Cost-Based Feature Selection in Classification*@*Performance Evaluation of Mobile Service Design Paradigm in Ubiquitous Computing Environments*@*Collecting, managing and analyzing social networking data effectively*@*Comparision of Real-Time Crowd Simulation Methods Based on Parallel Architecture
Zhou Lu|None!!!A Scene-Driven Modeling Reconfigurable Hardware-in-Loop Simulation Environment for the Verification of an Autonomous CPS*@*A New Universal-Environment Adaptive Multi-processor Scheduler for Autonomous Cyber-Physical System
Manfei Gao|National Key Laboratory of Integrated Services Networks Xidian University!!!Privacy-preserving friendship establishment based on blind signature and bloom filter in mobile social networks
Ming Wu|Beijing University of Posts and Telecommunications Beijing!!!Structured diffusion: Amplify your voice in online social networks*@*Influence inflation in online social networks
Jiangchuan Liu|South China Agricultural University!!!C2: Procuring uncertain freelancers for interactive live video transcoding
Guoying Zhang|None!!!SOA-Based Inter-Domain OVPN Service for Coordinated Scheduling of Distributed Computing
Yi Liang|University of Science and Technology of China!!!RandTest: Towards more secure and reliable dataflow processing in cloud computing
Qi Li|Beijing University of Posts and Telecommunications!!!Dynamic resource orchestration for multi-task application in heterogeneous mobile cloud computing*@*Defect trigger model: Analysis method of mobile application defect*@*A Secure Data Self-Destructing Scheme in Cloud Computing*@*A distributed task scheduling strategy for massive mobile application security detection
Leijiao Ge|Tianjin University!!!Analytical FRTU deployment approach for reliability improvement of integrated cyber-physical distribution systems
Gui-feng Liu|Xidian University!!!Heptaband Inverted-F Antenna for Metal-Rimmed Mobile Phone Applications
Xiaodan Guo|None!!!Data Dissemination Protocols Based on Opportunistic Sharing for Data Offloading in Mobile Social Networks
Zhenzhe Zheng|Shanghai Jiao Tong University!!!Trading Data in the Crowd: Profit-Driven Data Acquisition for Mobile Crowdsensing*@*Trading Data in the Crowd: Profit-Driven Data Acquisition for Mobile Crowdsensing
Kang Chen|Tsinghua University!!!MARSMARS : Mobile Application Relaunching Speed-Up through Flash-Aware Page Swapping
Jian Zhang|None!!!Research and Application of Mobile Agent-Based Computing Model for Data Center in Digital Gas Field*@*Outsourcing Large-Scale Systems of Linear Matrix Equations in Cloud Computing
Nan Zhang|Communication University of China!!!Character-based online key management in cloud computing environment
Yue Wang|Tsinghua University!!!Entropy-Based Service Selection with Uncertain QoS for Mobile Cloud Computing*@*Co-location social networks: Linking the physical world and cyberspace
Xutao Zhao|University of Electronic Science Technology of China!!!Study on DDoS attacks based on DPDK in cloud computing
Qinggang Su|None!!!Study of Cloud Computing Security Service Model
Beihong Jin|None!!!Design and evaluation of a Pub/Sub service in the cloud
Xi Chen|Shanghai Jiao Tong University!!!Characterizing web application performance for maximizing service providers' profits in clouds
Jing Gong|University of Posts and Telecommunications!!!A hybrid recommendation algorithm based on social networks
Hang Fan|None!!!Exploiting homophily-based implicit social network to improve recommendation performance
Tenghe Au|None!!!A QoS Evolutionary Method of Cloud Service Based on User Utility Model
Lili Zhang|None!!!IT applications to mobile services in university library
Zhengwei Ren|Wuhan University!!!Dynamic Proofs of Retrievability for Coded Cloud Storage Systems
Huan Ma|Renmin University of China!!!Influence maximization in social networks with user attitude modification*@*Least Cost Rumor Blocking in Social Networks
Ruiqi Sun|None!!!An Approach to Minimizing Downtime Induced by Taking Live Snapshot of Virtual Cluster
Jianxin Liao|Beijing University of Posts and Telecommunications!!!Dynamic resource orchestration for multi-task application in heterogeneous mobile cloud computing*@*Cloud service-aware location update in mobile cloud computing*@*OMI-DL: An Ontology Matching Framework*@*A Self-Adaption Handoff Mechanism for Multimedia Services in Mobile Cloud Computing*@*Integrated multiple services handoff in mobile cloud computing
Gao Mengdi|Beijing University of Technology!!!A new evaluation algorithm for the influence of user in social network
Hongqiao Li|Beijing University of Posts and Telecommunications!!!A new approach for detecting spam microblogs based on text and user's social network features
Song-Chun Zhu|None!!!Flow mosaicking: Real-time pedestrian counting without scene-specific learning
Fan Gu|None!!!Evaluating Energy Consumption for Cyber-Physical Energy System: An Environment Ontology-Based Approach
Yinbo Liu|University of Electronic Science and Technology of China!!!High-Efficiency Mode Decision Procedure for H.264/AVC Under Cloud Computing Environments
